,alg_name,dataset_name,Accuracy__test_median,Accuracy__test_mean,training_time_median,training_time_mean,train_per_1000_inst_median_Accuracy,train_per_1000_inst_mean_Accuracy,Accuracy__test_mean_min,Accuracy__test_mean_max,normalized_Accuracy__test_mean,normalized_Accuracy__test_std,Accuracy_rank_mean,normalized_F1__test_mean,normalized_F1__test_std,train_per_1000_inst_median_F1,train_per_1000_inst_mean_F1,F1_rank_mean,F1__test_mean,F1__test_mean_min,F1__test_mean_max,normalized_Log Loss__test_mean,normalized_Log Loss__test_std,train_per_1000_inst_median_Log Loss,train_per_1000_inst_mean_Log Loss,Log Loss_rank_mean,Log Loss__test_mean,Log Loss__test_mean_min,Log Loss__test_mean_max,normalized_AUC__test_mean,normalized_AUC__test_std,train_per_1000_inst_median_AUC,train_per_1000_inst_mean_AUC,AUC_rank_mean,AUC__test_mean,AUC__test_mean_min,AUC__test_mean_max,alg_type
3157,TabPFN,openml__glass__40,0.698051948051948,0.7303030303030302,0.00035807549999939997,0.00036683339999989,0.002087914371681509,0.0021447026945777786,0.35497835497835495,0.7534632034632034,0.9418794133623031,0.2616716978274339,6.0,0.8992032747808769,0.18681413008768183,0.0020293207934336593,0.0018608155703965855,5.0,0.7011683842964249,0.18627854903716967,0.7588852662277032,0.020649926544089234,0.059429487798434516,0.0017566689466472505,0.0018199476709392505,5.0,0.731766655592095,0.6447801214255999,4.857218067912813,0.993057839300005,0.06554288072578832,0.0019032619699024828,0.0018492662755902971,2.0,0.9532433390022674,0.5830555555555555,0.9558312074829931,pfn
3158,TabPFN,openml__guillermo__168337,0.5277499999999999,0.5262,0.07190620000000075,0.07211980999999804,0.004494137500000047,0.004507488124999877,0.5262,0.8412499999999999,0.0,0.16916655889651155,16.0,0.0,0.16916655889651155,0.004494137500000047,0.004507488124999877,16.0,0.5262,0.5262,0.8412499999999999,1.0,0.015348172027958448,0.004494137500000047,0.004507488124999877,16.0,0.690058383597705,0.37337374553175173,0.690058383597705,0.001880927875805347,0.05334200934457204,0.004494137500000047,0.004507488124999877,15.0,0.49987665942634907,0.4991088931612017,0.9072937443844955,pfn
3159,TabPFN,openml__haberman__42,0.75,0.7480645161290322,0.0005567910000001,0.0005317106000002701,0.002267872316243984,0.002171615149152325,0.6526881720430108,0.7480645161290322,1.0,0.44639587346549936,1.0,1.0,0.4463958734654992,0.002267872316243984,0.002171615149152325,1.0,0.7480645161290322,0.6526881720430108,0.7480645161290322,0.0,0.09000002141304299,0.002267872316243984,0.002171615149152325,1.0,0.5336362595235308,0.5336362595235308,1.0894119365900903,0.9434230097103852,0.3936546761844357,0.002267872316243984,0.002171615149152325,3.0,0.7151679841897234,0.48622502195871764,0.7288976723759333,pfn
3160,TabPFN,openml__hayes-roth__146063,0.8125,0.79375,0.00035553300000039996,0.00038385279999971,0.002777601562503125,0.0029988499999977344,0.475,0.8125,0.9444444444444443,0.3272187229802116,3.0,0.9562685728394466,0.3120481513939468,0.002777601562503125,0.0029594679687491407,6.0,0.7881665628081069,0.4406830914183855,0.8040574417412654,0.009801005913592125,0.03806720440743052,0.002777601562503125,0.0029988499999977344,3.0,0.3572466814526706,0.3235003327982371,3.766651877848704,0.9616144975288305,0.07727384446409012,0.002777601562503125,0.0029594679687491407,2.0,0.9628968253968255,0.5768518518518518,0.9783068783068783,pfn
3161,TabPFN,openml__heart-c__48,0.8360215053763441,0.8476344086021506,0.00059209050000045,0.00062187149999986,0.0024507052484501394,0.002565660301803386,0.6531182795698924,0.8640860215053763,0.9220183486238536,0.33710329783595805,3.0,0.9220183486238536,0.337103297835958,0.0024507052484501394,0.002565660301803386,3.0,0.8476344086021506,0.6531182795698924,0.8640860215053763,0.016202928347352392,0.13738096194879262,0.0015672337856697817,0.001761683840247092,5.0,0.39038280413737936,0.37599847088818894,1.2637598027181147,0.9740256037407685,0.2145695232189064,0.0018783608730426394,0.002062036411385607,7.0,0.9127565449256625,0.7057308500323206,0.9182773109243698,pfn
3162,TabPFN,openml__heart-h__50,0.8304597701149425,0.8334482758620689,0.00047466150000015004,0.0004979665,0.0020112775423735173,0.0021177326784376756,0.6804597701149425,0.8434482758620689,0.9386459802538787,0.28360058829774715,3.0,0.9386459802538787,0.28360058829774715,0.0020112775423735173,0.0021177326784376756,3.0,0.8334482758620689,0.6804597701149425,0.8434482758620689,0.10423126899506159,0.18365817247064367,0.0019433297872351062,0.0019217508661804772,9.0,0.43203187444046554,0.3761430998466326,0.9123427943594272,0.8710236203633405,0.19630211715059895,0.001978884204830187,0.001967772476349926,11.0,0.8812759170653907,0.6647448165869219,0.9133386496544391,pfn
3163,TabPFN,openml__hepatitis__54,0.8666666666666667,0.8520833333333334,0.00043646700000005004,0.00045586029999973,0.0035201330081305266,0.0036782347275614276,0.7154166666666667,0.8520833333333334,1.0,0.495628737260022,1.0,1.0,0.4956287372600218,0.0035201330081305266,0.0036782347275614276,1.0,0.8520833333333334,0.7154166666666667,0.8520833333333334,0.0,0.024847783483070353,0.0035201330081305266,0.0036782347275614276,1.0,0.34991133168635613,0.34991133168635613,5.122753076186135,1.0,0.3557225956577667,0.0035201330081305266,0.0036782347275614276,1.0,0.8798611111111111,0.5818376068376068,0.8798611111111111,pfn
3164,TabPFN,openml__higgs__146606,0.6627740948495666,0.6634166241713412,0.0022432499999922003,0.0022476600000004,2.859829168781489e-05,2.8654513003574706e-05,0.631116777154513,0.7320040795512494,0.32015770319450104,0.08087315226621516,17.0,0.32015770319450104,0.08087315226621516,2.859829168781489e-05,2.8654513003574706e-05,17.0,0.6634166241713412,0.631116777154513,0.7320040795512494,0.7681995470682822,0.06133915747246154,2.859829168781489e-05,2.8654513003574706e-05,17.0,0.6126259869725045,0.524491412207268,0.6392201634823615,0.32428325056535967,0.06624110551130957,2.859829168781489e-05,2.8654513003574706e-05,18.0,0.724058346623673,0.6813653973879914,0.813018663972837,pfn
3165,TabPFN,openml__hill-valley__145847,0.5537190082644627,0.5602425145644221,0.00040742050000015003,0.00045108059999922996,0.00042002113402077323,0.00046525464351297003,0.48433139141037795,0.9810256062864111,0.15283271050980596,0.10662974584215607,10.0,0.15283271050980596,0.10662974584215607,0.00042002113402077323,0.00046525464351297003,10.0,0.5602425145644221,0.48433139141037795,0.9810256062864111,0.06607009657192263,8.162034215001089e-05,0.00042002113402077323,0.0004524622723789906,9.0,0.6924129847088214,0.04284227565794497,9.874380940714477,0.14999810124514168,0.1284247324564675,0.0003925598337093172,0.00042392124145166076,14.0,0.5675942846904954,0.4915188569380991,0.9986947953059213,pfn
3166,TabPFN,openml__ilpd__9971,0.7327586206896552,0.7257451782583285,0.00047753500000075,0.00052217190000009,0.0010237026196816016,0.0011198659987898475,0.6515780245470485,0.7257451782583285,1.0,0.7526842617028019,1.0,1.0,0.7526842617028021,0.0010237026196816016,0.0011198659987898475,1.0,0.7257451782583285,0.6515780245470485,0.7257451782583285,0.0,0.18102325769245536,0.0010290888651,0.001112638566360713,1.0,0.5010543622777125,0.5010543622777125,0.8172920503083416,1.0,0.4150954704315171,0.001090381156317773,0.001138021792166713,1.0,0.7674542682926829,0.6155669279907084,0.7674542682926829,pfn
